Company,InsuranceGroup,VehicleType,Region,Date,Premium,Vehicles
Company 6,Group A,PPV,Edmonton,2019-01-01,4376049,3171.083335
Company 7,Group A,PPV,Edmonton,2019-01-01,1411107,1078.166667
Company 5,Group A,PPV,Edmonton,2019-01-01,9260405,5673.666671
Company 4,Group A,PPV,Edmonton,2019-01-01,668067,539.8333335
Company 3,Group A,PPV,Edmonton,2019-01-01,55465,41.83333338
Company 9,Group A,PPV,Edmonton,2019-01-01,1850641,1427.916667
Company 6,Group A,PPV,Edmonton,2019-02-01,4605131,3306.416668
Company 3,Group A,PPV,Edmonton,2019-02-01,47613,30.91666667
Company 5,Group A,PPV,Edmonton,2019-02-01,9954734,6045.750002
Company 4,Group A,PPV,Edmonton,2019-02-01,785236,618.1666668
Company 9,Group A,PPV,Edmonton,2019-02-01,1874857,1356.583334
Company 7,Group A,PPV,Edmonton,2019-02-01,1440923,1114.333334
Company 6,Group A,PPV,Edmonton,2019-03-01,5537697,3931.750001
Company 9,Group A,PPV,Edmonton,2019-03-01,2654889,1856.750001
Company 4,Group A,PPV,Edmonton,2019-03-01,944682,772.4999999
Company 3,Group A,PPV,Edmonton,2019-03-01,83509,66.49999997
Company 5,Group A,PPV,Edmonton,2019-03-01,12754703,7703.083334
Company 7,Group A,PPV,Edmonton,2019-03-01,1890509,1401.666667
Company 5,Group A,PPV,Edmonton,2019-04-01,14293432,8983.083332
Company 9,Group A,PPV,Edmonton,2019-04-01,3197462,2222.583334
Company 3,Group A,PPV,Edmonton,2019-04-01,101799,87.66666655
Company 6,Group A,PPV,Edmonton,2019-04-01,6883425,4943.666666
Company 4,Group A,PPV,Edmonton,2019-04-01,902512,714.333333
Company 7,Group A,PPV,Edmonton,2019-04-01,2089462,1654.583333
Company 3,Group A,PPV,Edmonton,2019-05-01,96266,80.99999996
Company 4,Group A,PPV,Edmonton,2019-05-01,1269133,822.4166666
Company 6,Group A,PPV,Edmonton,2019-05-01,7232213,5126.5
Company 9,Group A,PPV,Edmonton,2019-05-01,3267717,2293.583334
Company 5,Group A,PPV,Edmonton,2019-05-01,14785381,8951.5
Company 7,Group A,PPV,Edmonton,2019-05-01,2068766,1615.833333
Company 3,Group A,PPV,Edmonton,2019-06-01,72123,63.91666666
Company 5,Group A,PPV,Edmonton,2019-06-01,14488041,8614.583335
Company 6,Group A,PPV,Edmonton,2019-06-01,7378706,4935.166667
Company 7,Group A,PPV,Edmonton,2019-06-01,2066852,1586.75
Company 4,Group A,PPV,Edmonton,2019-06-01,960294,701.4166666
Company 9,Group A,PPV,Edmonton,2019-06-01,2911117,2061.916667
Company 3,Group A,PPV,Edmonton,2019-07-01,50082,45.41666666
Company 5,Group A,PPV,Edmonton,2019-07-01,13922348,8279.833336
Company 7,Group A,PPV,Edmonton,2019-07-01,2246119,1755.166667
Company 6,Group A,PPV,Edmonton,2019-07-01,7282887,4787.500001
Company 9,Group A,PPV,Edmonton,2019-07-01,2810094,1997.083334
Company 4,Group A,PPV,Edmonton,2019-07-01,844233,608.5833334
Company 7,Group A,PPV,Edmonton,2019-08-01,2280336,1724.416667
Company 3,Group A,PPV,Edmonton,2019-08-01,59833,45.83333334
Company 4,Group A,PPV,Edmonton,2019-08-01,926211,633.9166667
Company 5,Group A,PPV,Edmonton,2019-08-01,14708637,8611.166668
Company 9,Group A,PPV,Edmonton,2019-08-01,2882279,2063.25
Company 6,Group A,PPV,Edmonton,2019-08-01,7736729,5090.750002
Company 6,Group A,PPV,Edmonton,2019-09-01,7667045,5005.083335
Company 9,Group A,PPV,Edmonton,2019-09-01,2830241,1994.666667
Company 7,Group A,PPV,Edmonton,2019-09-01,2085259,1519.416667
Company 4,Group A,PPV,Edmonton,2019-09-01,898656,647.2500001
Company 5,Group A,PPV,Edmonton,2019-09-01,14150417,8208.083336
Company 3,Group A,PPV,Edmonton,2019-09-01,32262,25.58333335
Company 6,Group A,PPV,Edmonton,2019-10-01,7308075,4726.000003
Company 3,Group A,PPV,Edmonton,2019-10-01,49675,35.08333346
Company 4,Group A,PPV,Edmonton,2019-10-01,1018214,722.666667
Company 7,Group A,PPV,Edmonton,2019-10-01,2047875,1511.083334
Company 9,Group A,PPV,Edmonton,2019-10-01,2898841,2100.083334
Company 5,Group A,PPV,Edmonton,2019-10-01,13990719,8029.750005
Company 4,Group A,PPV,Edmonton,2019-11-01,940709,669.0000004
Company 3,Group A,PPV,Edmonton,2019-11-01,33794,29.16666674
Company 7,Group A,PPV,Edmonton,2019-11-01,1860412,1322.166667
Company 9,Group A,PPV,Edmonton,2019-11-01,2178822,1658.5
Company 6,Group A,PPV,Edmonton,2019-11-01,6894920,4311.500003
Company 5,Group A,PPV,Edmonton,2019-11-01,12324378,6817.000006
Company 4,Group A,PPV,Edmonton,2019-12-01,718408,495.2500001
Company 5,Group A,PPV,Edmonton,2019-12-01,9874070,5523.66667
Company 7,Group A,PPV,Edmonton,2019-12-01,1490722,1022.083334
Company 6,Group A,PPV,Edmonton,2019-12-01,5549457,3420.250002
Company 9,Group A,PPV,Edmonton,2019-12-01,1905611,1337.416667
Company 3,Group A,PPV,Edmonton,2019-12-01,41911,30.58333335
Company 5,Group A,PPV,North,2019-12-01,4039958,2444.750002
Company 4,Group A,PPV,North,2019-12-01,346997,271.5833334
Company 3,Group A,PPV,North,2019-12-01,5904,1.25
Company 9,Group A,PPV,North,2019-12-01,291522,226.3333335
Company 6,Group A,PPV,North,2019-12-01,1510874,1046.166667
Company 7,Group A,PPV,North,2019-12-01,446176,339.6666668
Company 5,Group A,PPV,North,2019-11-01,5036911,3020.583336
Company 9,Group A,PPV,North,2019-11-01,374938,327.2500001
Company 3,Group A,PPV,North,2019-11-01,24065,15.91666667
Company 7,Group A,PPV,North,2019-11-01,526935,414.4166669
Company 6,Group A,PPV,North,2019-11-01,1945601,1332.916668
Company 4,Group A,PPV,North,2019-11-01,402951,318.5833335
Company 9,Group A,PPV,North,2019-10-01,410516,339.9166668
Company 5,Group A,PPV,North,2019-10-01,5852039,3752.916669
Company 7,Group A,PPV,North,2019-10-01,589658,482.3333336
Company 3,Group A,PPV,North,2019-10-01,10106,8.66666667
Company 6,Group A,PPV,North,2019-10-01,2107080,1420.000001
Company 4,Group A,PPV,North,2019-10-01,402972,328.6666668
Company 3,Group A,PPV,North,2019-09-01,3515,2.00000002
Company 6,Group A,PPV,North,2019-09-01,2234450,1577.750001
Company 9,Group A,PPV,North,2019-09-01,402659,323.6666668
Company 7,Group A,PPV,North,2019-09-01,629187,503.0000001
Company 5,Group A,PPV,North,2019-09-01,5674294,3668.083335
Company 4,Group A,PPV,North,2019-09-01,419820,361.7500001
Company 7,Group A,PPV,North,2019-08-01,636274,525.5000001
Company 6,Group A,PPV,North,2019-08-01,2328022,1604.750001
Company 3,Group A,PPV,North,2019-08-01,21611,14.33333333
Company 5,Group A,PPV,North,2019-08-01,5540163,3635.416668
Company 4,Group A,PPV,North,2019-08-01,408644,321.9166667
Company 9,Group A,PPV,North,2019-08-01,377610,315.5000002
Company 4,Group A,PPV,North,2019-07-01,427452,360.5833333
Company 6,Group A,PPV,North,2019-07-01,2310576,1621.333334
Company 5,Group A,PPV,North,2019-07-01,5494247,3689.666667
Company 7,Group A,PPV,North,2019-07-01,632839,534.4166666
Company 9,Group A,PPV,North,2019-07-01,488951,367.4166669
Company 3,Group A,PPV,North,2019-07-01,11090,4.25000001
Company 4,Group A,PPV,North,2019-06-01,387909,326.1666667
Company 9,Group A,PPV,North,2019-06-01,473301,395.4166668
Company 3,Group A,PPV,North,2019-06-01,22923,21.41666665
Company 5,Group A,PPV,North,2019-06-01,6237322,4182.083334
Company 6,Group A,PPV,North,2019-06-01,2115312,1493.916667
Company 7,Group A,PPV,North,2019-06-01,681457,586.5833333
Company 7,Group A,PPV,North,2019-05-01,738441,615.75
Company 3,Group A,PPV,North,2019-05-01,10126,9.50000004
Company 5,Group A,PPV,North,2019-05-01,6372235,4273.75
Company 6,Group A,PPV,North,2019-05-01,2216052,1697.416667
Company 4,Group A,PPV,North,2019-05-01,417199,345.9166666
Company 9,Group A,PPV,North,2019-05-01,385096,342.5833334
Company 3,Group A,PPV,North,2019-04-01,13528,13.99999998
Company 5,Group A,PPV,North,2019-04-01,6308183,4366.666666
Company 9,Group A,PPV,North,2019-04-01,552406,410.5833334
Company 4,Group A,PPV,North,2019-04-01,422789,376.4166665
Company 7,Group A,PPV,North,2019-04-01,753007,646.5
Company 6,Group A,PPV,North,2019-04-01,2070999,1539.083333
Company 6,Group A,PPV,North,2019-03-01,1768782,1339.25
Company 3,Group A,PPV,North,2019-03-01,10507,11.66666666
Company 4,Group A,PPV,North,2019-03-01,330174,300.4166667
Company 5,Group A,PPV,North,2019-03-01,5661516,3819.416667
Company 9,Group A,PPV,North,2019-03-01,388054,326.4166668
Company 7,Group A,PPV,North,2019-03-01,691077,586.5
Company 6,Group A,PPV,North,2019-02-01,1403407,1036.833334
Company 5,Group A,PPV,North,2019-02-01,3975135,2627.750001
Company 7,Group A,PPV,North,2019-02-01,462681,402.1666667
Company 3,Group A,PPV,North,2019-02-01,7333,6.33333334
Company 9,Group A,PPV,North,2019-02-01,287738,241.5833334
Company 4,Group A,PPV,North,2019-02-01,368617,304.1666667
Company 3,Group A,PPV,North,2020-02-01,383,0.66666666
Company 6,Group A,PPV,North,2020-02-01,1470119,969.3333338
Company 4,Group A,PPV,North,2020-02-01,335090,274.9166667
Company 9,Group A,PPV,North,2020-02-01,342448,247.5833335
Company 5,Group A,PPV,North,2020-02-01,4382835,2736.083334
Company 7,Group A,PPV,North,2020-02-01,503139,406.5000001
Company 4,Group A,PPV,North,2020-01-01,328289,255.6666668
Company 3,Group A,PPV,North,2020-01-01,143,0.16666667
Company 7,Group A,PPV,North,2020-01-01,469428,372.7500001
Company 9,Group A,PPV,North,2020-01-01,283593,230.5833334
Company 5,Group A,PPV,North,2020-01-01,4603286,2852.833334
Company 6,Group A,PPV,North,2020-01-01,1519778,989.3333341
Company 6,Group A,PPV,South,2020-01-01,699088,538.916667
Company 4,Group A,PPV,South,2020-01-01,233574,184.9166667
Company 5,Group A,PPV,South,2020-01-01,4931057,3820.833335
Company 9,Group A,PPV,South,2020-01-01,282402,260.1666668
Company 7,Group A,PPV,South,2020-01-01,782019,806.1666669
Company 3,Group A,PPV,South,2020-01-01,9326,10.16666667
Company 4,Group A,PPV,South,2020-02-01,206257,190.0833334
Company 5,Group A,PPV,South,2020-02-01,4881901,3764.416668
Company 9,Group A,PPV,South,2020-02-01,347178,296.0000001
Company 3,Group A,PPV,South,2020-02-01,6285,5
Company 7,Group A,PPV,South,2020-02-01,866383,888.5833333
Company 6,Group A,PPV,South,2020-02-01,651470,506.9166669
Company 6,Group A,PPV,South,2020-03-01,778182,605.7500001
Company 4,Group A,PPV,South,2020-03-01,222756,202.1666666
Company 9,Group A,PPV,South,2020-03-01,510270,470.8333334
Company 7,Group A,PPV,South,2020-03-01,1197532,1301.75
Company 5,Group A,PPV,South,2020-03-01,5756434,4741.583334
Company 3,Group A,PPV,South,2020-03-01,28440,26.58333332
Company 6,Group A,PPV,South,2020-04-01,911792,721.1666669
Company 3,Group A,PPV,South,2020-04-01,16382,15.83333332
Company 4,Group A,PPV,South,2020-04-01,301527,264.4166667
Company 9,Group A,PPV,South,2020-04-01,463091,443.5000001
Company 5,Group A,PPV,South,2020-04-01,6065898,5380.166667
Company 7,Group A,PPV,South,2020-04-01,1160644,1368
Company 3,Group A,PPV,South,2020-05-01,19917,17.83333333
Company 9,Group A,PPV,South,2020-05-01,457649,475.3333333
Company 4,Group A,PPV,South,2020-05-01,298065,240.2499999
Company 7,Group A,PPV,South,2020-05-01,1145784,1282.416666
Company 5,Group A,PPV,South,2020-05-01,6880181,5603.249999
Company 6,Group A,PPV,South,2020-05-01,1086873,847.5
Company 5,Group A,PPV,South,2020-06-01,6944243,5641.333333
Company 7,Group A,PPV,South,2020-06-01,1123642,1216
Company 4,Group A,PPV,South,2020-06-01,321075,271.5
Company 6,Group A,PPV,South,2020-06-01,1004994,760.6666669
Company 3,Group A,PPV,South,2020-06-01,34151,36.5
Company 9,Group A,PPV,South,2020-06-01,522496,510.5833333
Company 5,Group A,PPV,South,2020-07-01,7117550,5505.833333
Company 9,Group A,PPV,South,2020-07-01,530410,466.2500001
Company 4,Group A,PPV,South,2020-07-01,384961,319.0833334
Company 3,Group A,PPV,South,2020-07-01,12333,14
Company 7,Group A,PPV,South,2020-07-01,1042303,1081.583333
Company 6,Group A,PPV,South,2020-07-01,1107889,815.7500001
Company 7,Group A,PPV,South,2020-08-01,1037612,1051.833333
Company 3,Group A,PPV,South,2020-08-01,21577,20.41666668
Company 9,Group A,PPV,South,2020-08-01,495092,400.0000001
Company 6,Group A,PPV,South,2020-08-01,1050762,794.0833336
Company 5,Group A,PPV,South,2020-08-01,7169279,5442.250001
Company 4,Group A,PPV,South,2020-08-01,339583,291
Company 4,Group A,PPV,South,2020-09-01,329838,267.8333334
Company 5,Group A,PPV,South,2020-09-01,7890306,6429.083334
Company 3,Group A,PPV,South,2020-09-01,-374,0.08333334
Company 9,Group A,PPV,South,2020-09-01,512882,421.9166667
Company 7,Group A,PPV,South,2020-09-01,12912,-13.91666662
Company 6,Group A,PPV,South,2020-09-01,933732,715.5000004
Company 3,Group A,PPV,South,2020-10-01,-3453,-5.5833333
Company 9,Group A,PPV,South,2020-10-01,429467,407.6666669
Company 5,Group A,PPV,South,2020-10-01,7571028,6003.083336
Company 7,Group A,PPV,South,2020-10-01,-33252,-69.33333285
Company 4,Group A,PPV,South,2020-10-01,311976,236.0833335
Company 6,Group A,PPV,South,2020-10-01,962072,687.916667
Company 5,Group A,PPV,South,2020-11-01,6954390,5482.916669
Company 7,Group A,PPV,South,2020-11-01,-20444,-42.49999969
Company 6,Group A,PPV,South,2020-11-01,882140,631.5000003
Company 3,Group A,PPV,South,2020-11-01,-2544,-2.25
Company 4,Group A,PPV,South,2020-11-01,301904,224.2500002
Company 9,Group A,PPV,South,2020-11-01,316914,313.0000001
Company 5,Group A,PPV,South,2020-12-01,5414750,4315.083335
Company 4,Group A,PPV,South,2020-12-01,282934,223
Company 6,Group A,PPV,South,2020-12-01,696024,526.8333336
Company 9,Group A,PPV,South,2020-12-01,298091,278.0833334
Company 7,Group A,PPV,South,2020-12-01,-8398,-16.74999989
Company 3,Group A,PPV,South,2020-12-01,-1017,-0.74999999
Company 4,Group A,PPV,Calgary,2021-01-01,1084490,652.416667
Company 6,Group A,PPV,Calgary,2021-01-01,2460702,1460.416667
Company 9,Group A,PPV,Calgary,2021-01-01,1616488,1131.833334
Company 3,Group A,PPV,Calgary,2021-01-01,1387,1.25
Company 5,Group A,PPV,Calgary,2021-01-01,13851911,8173.083336
Company 7,Group A,PPV,Calgary,2021-01-01,1268,-10.24999983
Company 9,Group A,PPV,Calgary,2021-02-01,1652241,1172.25
Company 7,Group A,PPV,Calgary,2021-02-01,-4817,-2.99999995
Company 4,Group A,PPV,Calgary,2021-02-01,1079072,650.2500001
Company 6,Group A,PPV,Calgary,2021-02-01,2371401,1473.750001
Company 5,Group A,PPV,Calgary,2021-02-01,12865783,7986.833335
Company 3,Group A,PPV,Calgary,2021-02-01,273,0
Company 5,Group A,PPV,Calgary,2021-03-01,12356767,10293.16667
Company 3,Group A,PPV,Calgary,2021-03-01,-313,0.25
Company 7,Group A,PPV,Calgary,2021-03-01,-224230,-0.8333334
Company 4,Group A,PPV,Calgary,2021-03-01,1303040,786.5833334
Company 9,Group A,PPV,Calgary,2021-03-01,1394078,1462.416667
Company 6,Group A,PPV,Calgary,2021-03-01,2975323,1855.416667
Company 7,Group A,PPV,Calgary,2021-04-01,4183,5.8333333
Company 6,Group A,PPV,Calgary,2021-04-01,3238027,2048.416667
Company 5,Group A,PPV,Calgary,2021-04-01,17901373,11115.75
Company 9,Group A,PPV,Calgary,2021-04-01,2410785,1675.25
Company 3,Group A,PPV,Calgary,2021-04-01,530,0.66666667
Company 4,Group A,PPV,Calgary,2021-04-01,1122371,728.8333332
Company 6,Group A,PPV,Calgary,2021-05-01,3420601,2212.666667
Company 4,Group A,PPV,Calgary,2021-05-01,1234761,780.4166667
Company 3,Group A,PPV,Calgary,2021-05-01,-106,-0.16666667
Company 7,Group A,PPV,Calgary,2021-05-01,3472,4.33333327
Company 9,Group A,PPV,Calgary,2021-05-01,2404110,1647.333334
Company 5,Group A,PPV,Calgary,2021-05-01,18109779,11121.33333
Company 7,Group A,PPV,Calgary,2021-06-01,1139,1.41666661
Company 5,Group A,PPV,Calgary,2021-06-01,18449992,11420.16667
Company 3,Group A,PPV,Calgary,2021-06-01,283,0.33333332
Company 9,Group A,PPV,Calgary,2021-06-01,2501717,1673.583334
Company 4,Group A,PPV,Calgary,2021-06-01,1215990,762.3333334
Company 6,Group A,PPV,Calgary,2021-06-01,3665980,2312.250001
Company 6,Group A,PPV,Calgary,2021-07-01,3551440,2216.250001
Company 9,Group A,PPV,Calgary,2021-07-01,2292993,1568.25
Company 7,Group A,PPV,Calgary,2021-07-01,-1338,-1.24999995
Company 4,Group A,PPV,Calgary,2021-07-01,1199581,733.6666668
Company 5,Group A,PPV,Calgary,2021-07-01,17773556,10773.5
Company 6,Group A,PPV,Calgary,2021-08-01,3970042,2411.250001
Company 9,Group A,PPV,Calgary,2021-08-01,2373849,1581.833334
Company 7,Group A,PPV,Calgary,2021-08-01,-47,0
Company 5,Group A,PPV,Calgary,2021-08-01,18576611,11068
Company 4,Group A,PPV,Calgary,2021-08-01,1143654,730.2500001
Company 9,Group A,PPV,Calgary,2021-09-01,2394662,1598.083334
Company 4,Group A,PPV,Calgary,2021-09-01,1216809,748.5833336
Company 6,Group A,PPV,Calgary,2021-09-01,3928358,2412.500001
Company 5,Group A,PPV,Calgary,2021-09-01,18474698,10806
Company 9,Group A,PPV,Calgary,2021-10-01,2084693,1537
Company 5,Group A,PPV,Calgary,2021-10-01,18893459,11125.16667
Company 6,Group A,PPV,Calgary,2021-10-01,3530790,2157.416668
Company 4,Group A,PPV,Calgary,2021-10-01,54437,27.33333387
Company 4,Group A,PPV,Calgary,2021-11-01,80623,52.00000043
Company 6,Group A,PPV,Calgary,2021-11-01,3163569,1955.416668
Company 5,Group A,PPV,Calgary,2021-11-01,16306528,9459.250006
Company 9,Group A,PPV,Calgary,2021-11-01,1730595,1268.833334
Company 6,Group A,PPV,Calgary,2021-12-01,2441845,1499.833334
Company 9,Group A,PPV,Calgary,2021-12-01,1620413,1090.333334
Company 4,Group A,PPV,Calgary,2021-12-01,69735,54.25000019
Company 5,Group A,PPV,Calgary,2021-12-01,13450202,7891.66667
Company 9,Group A,PPV,Central,2021-12-01,502640,441.9166668
Company 4,Group A,PPV,Central,2021-12-01,15540,10.16666678
Company 5,Group A,PPV,Central,2021-12-01,8270950,5755.083336
Company 6,Group A,PPV,Central,2021-12-01,1871942,1297.500001
Company 9,Group A,PPV,Central,2021-11-01,671062,632.8333335
Company 5,Group A,PPV,Central,2021-11-01,10720552,7444.500004
Company 4,Group A,PPV,Central,2021-11-01,38434,23.91666679
Company 6,Group A,PPV,Central,2021-11-01,2219303,1556.916668
Company 6,Group A,PPV,Central,2021-10-01,2597090,1852.250001
Company 9,Group A,PPV,Central,2021-10-01,856595,732.6666668
Company 5,Group A,PPV,Central,2021-10-01,12404750,8831.583337
Company 4,Group A,PPV,Central,2021-10-01,36326,21.83333354
Company 4,Group A,PPV,Central,2021-09-01,333949,249.2500001
Company 5,Group A,PPV,Central,2021-09-01,11968755,8666.833335
Company 6,Group A,PPV,Central,2021-09-01,2702747,1923.916667
Company 9,Group A,PPV,Central,2021-09-01,897370,730.6666667
Company 4,Group A,PPV,Central,2021-08-01,373667,278.9166667
Company 7,Group A,PPV,Central,2021-08-01,-189,-0.16666666
Company 6,Group A,PPV,Central,2021-08-01,2698946,1941.333334
Company 5,Group A,PPV,Central,2021-08-01,11717546,8709.333334
Company 9,Group A,PPV,Central,2021-08-01,840154,680.7500001
Company 5,Group A,PPV,Central,2021-07-01,11659483,8733.833334
Company 4,Group A,PPV,Central,2021-07-01,502177,366.4166668
Company 6,Group A,PPV,Central,2021-07-01,2616856,1927.166667
Company 7,Group A,PPV,Central,2021-07-01,-1346,-1.16666662
Company 9,Group A,PPV,Central,2021-07-01,870926,742.1666668
Company 7,Group A,PPV,Central,2021-06-01,566,0.08333333
Company 9,Group A,PPV,Central,2021-06-01,893021,708.6666667
Company 6,Group A,PPV,Central,2021-06-01,2786887,2026.916667
Company 3,Group A,PPV,Central,2021-06-01,-125,-0.16666666
Company 4,Group A,PPV,Central,2021-06-01,439638,354
Company 5,Group A,PPV,Central,2021-06-01,12260734,9218.416667
Company 4,Group A,PPV,Central,2021-05-01,475411,364.9166666
Company 9,Group A,PPV,Central,2021-05-01,811451,682.2500001
Company 6,Group A,PPV,Central,2021-05-01,2642684,1999.25
Company 7,Group A,PPV,Central,2021-05-01,953,4.24999998
Company 5,Group A,PPV,Central,2021-05-01,12379825,9336.666666
Company 3,Group A,PPV,Central,2021-05-01,68,0.25
Company 5,Group A,PPV,Central,2021-04-01,12015989,9384.749999
Company 7,Group A,PPV,Central,2021-04-01,-1357,1.41666663
Company 4,Group A,PPV,Central,2021-04-01,423131,326.1666666
Company 9,Group A,PPV,Central,2021-04-01,872485,721.5833333
Company 3,Group A,PPV,Central,2021-04-01,64,0.08333333
Company 6,Group A,PPV,Central,2021-04-01,2561600,1962
Company 4,Group A,PPV,Central,2021-03-01,466231,359.5
Company 3,Group A,PPV,Central,2021-03-01,-854,-1
Company 6,Group A,PPV,Central,2021-03-01,2266115,1594
Company 5,Group A,PPV,Central,2021-03-01,8976850,8226.666666
Company 9,Group A,PPV,Central,2021-03-01,495093,629.3333335
Company 7,Group A,PPV,Central,2021-03-01,-111447,7.49999995
Company 5,Group A,PPV,Central,2021-02-01,9028199,6501.916668
Company 4,Group A,PPV,Central,2021-02-01,383195,290.6666667
Company 9,Group A,PPV,Central,2021-02-01,491061,435.4166668
Company 3,Group A,PPV,Central,2021-02-01,87,0.08333333
Company 6,Group A,PPV,Central,2021-02-01,1818649,1305.916667
Company 7,Group A,PPV,Central,2021-02-01,-643,-7.99999995
Company 4,Group A,PPV,Central,2021-01-01,352817,247.5833334
Company 6,Group A,PPV,Central,2021-01-01,1789635,1261.916667
Company 9,Group A,PPV,Central,2021-01-01,488187,435.8333336
Company 7,Group A,PPV,Central,2021-01-01,-3603,-7.24999994
Company 3,Group A,PPV,Central,2021-01-01,-174,-0.41666666
Company 5,Group A,PPV,Central,2021-01-01,8921859,6255.416669
Company 9,Group A,PPV,Edmonton,2021-01-01,1951672,1361.5
Company 4,Group A,PPV,Edmonton,2021-01-01,777648,493.4166668
Company 6,Group A,PPV,Edmonton,2021-01-01,4949076,2962.083335
Company 7,Group A,PPV,Edmonton,2021-01-01,-10760,-10.83333321
Company 3,Group A,PPV,Edmonton,2021-01-01,-2949,-2.16666665
Company 5,Group A,PPV,Edmonton,2021-01-01,11636439,6883.083336
Company 9,Group A,PPV,Edmonton,2021-02-01,1942150,1301.166667
Company 5,Group A,PPV,Edmonton,2021-02-01,11828861,7212.750002
Company 4,Group A,PPV,Edmonton,2021-02-01,824719,541.5000001
Company 6,Group A,PPV,Edmonton,2021-02-01,5031642,3106.583335
Company 7,Group A,PPV,Edmonton,2021-02-01,-7093,-7.24999991
Company 3,Group A,PPV,Edmonton,2021-02-01,303,0.25
Company 4,Group A,PPV,Edmonton,2021-03-01,1127891,727.7499999
Company 3,Group A,PPV,Edmonton,2021-03-01,420,0.83333333
Company 5,Group A,PPV,Edmonton,2021-03-01,11386295,9152.583333
Company 7,Group A,PPV,Edmonton,2021-03-01,-229222,7.08333318
Company 6,Group A,PPV,Edmonton,2021-03-01,6217655,3800.666668
Company 9,Group A,PPV,Edmonton,2021-03-01,1513928,1664.083334
Company 4,Group A,PPV,Edmonton,2021-04-01,971684,623.9166665
Company 5,Group A,PPV,Edmonton,2021-04-01,16343247,10340.75
Company 7,Group A,PPV,Edmonton,2021-04-01,5765,9.33333321
Company 6,Group A,PPV,Edmonton,2021-04-01,7036933,4464.166667
Company 9,Group A,PPV,Edmonton,2021-04-01,3084126,2025.5
Company 3,Group A,PPV,Edmonton,2021-04-01,-689,-0.41666667
Company 5,Group A,PPV,Edmonton,2021-05-01,17364092,10596.08333
Company 7,Group A,PPV,Edmonton,2021-05-01,-2851,2.58333328
Company 9,Group A,PPV,Edmonton,2021-05-01,3086385,2050
Company 4,Group A,PPV,Edmonton,2021-05-01,1087778,718.25
Company 3,Group A,PPV,Edmonton,2021-05-01,606,0.33333333
Company 6,Group A,PPV,Edmonton,2021-05-01,7656400,4775.500001
Company 6,Group A,PPV,Edmonton,2021-06-01,7632053,4674.666667
Company 9,Group A,PPV,Edmonton,2021-06-01,2905423,1941.833334
Company 5,Group A,PPV,Edmonton,2021-06-01,17124567,10493.25
Company 7,Group A,PPV,Edmonton,2021-06-01,-2165,-1.24999995
Company 4,Group A,PPV,Edmonton,2021-06-01,1072623,671.75
Company 3,Group A,PPV,Edmonton,2021-06-01,32,0.08333333
Company 3,Group A,PPV,Edmonton,2021-07-01,-184,-0.08333333
Company 5,Group A,PPV,Edmonton,2021-07-01,16465926,10114.25
Company 6,Group A,PPV,Edmonton,2021-07-01,7421780,4544.833335
Company 7,Group A,PPV,Edmonton,2021-07-01,-968,-0.41666665
Company 4,Group A,PPV,Edmonton,2021-07-01,1002377,615.2500001
Company 9,Group A,PPV,Edmonton,2021-07-01,2886098,1925.166667
Company 4,Group A,PPV,Edmonton,2021-08-01,952136,594.0000001
Company 3,Group A,PPV,Edmonton,2021-08-01,-72,-0.08333333
Company 5,Group A,PPV,Edmonton,2021-08-01,17168994,10274.91667
Company 9,Group A,PPV,Edmonton,2021-08-01,2926932,1933.583334
Company 7,Group A,PPV,Edmonton,2021-08-01,227,0
Company 6,Group A,PPV,Edmonton,2021-08-01,7823699,4784.333335
Company 5,Group A,PPV,Edmonton,2021-09-01,16521599,9822.666668
Company 4,Group A,PPV,Edmonton,2021-09-01,911403,558.916667
Company 6,Group A,PPV,Edmonton,2021-09-01,7638011,4662.500002
Company 9,Group A,PPV,Edmonton,2021-09-01,2805753,1873.916667
Company 5,Group A,PPV,Edmonton,2021-10-01,17451541,10192.75
Company 4,Group A,PPV,Edmonton,2021-10-01,26178,23.83333373
Company 6,Group A,PPV,Edmonton,2021-10-01,7059769,4340.166669
Company 9,Group A,PPV,Edmonton,2021-10-01,2878360,2018.75
Company 4,Group A,PPV,Edmonton,2021-11-01,20531,7.08333364
Company 9,Group A,PPV,Edmonton,2021-11-01,2173613,1567.166667
Company 5,Group A,PPV,Edmonton,2021-11-01,14680140,8460.666673
Company 6,Group A,PPV,Edmonton,2021-11-01,6484207,3869.66667
Company 4,Group A,PPV,Edmonton,2021-12-01,80815,63.0000002
Company 6,Group A,PPV,Edmonton,2021-12-01,5074819,3093.833335
Company 5,Group A,PPV,Edmonton,2021-12-01,12039976,6911.91667
Company 9,Group A,PPV,Edmonton,2021-12-01,1782883,1259.166667
Company 6,Group A,PPV,North,2021-12-01,1442154,974.833334
Company 4,Group A,PPV,North,2021-12-01,44609,33.66666675
Company 5,Group A,PPV,North,2021-12-01,4693830,3028.583335
Company 9,Group A,PPV,North,2021-12-01,286093,203.4166667
Company 9,Group A,PPV,North,2021-11-01,373573,303.8333334
Company 4,Group A,PPV,North,2021-11-01,43918,34.66666685
Company 5,Group A,PPV,North,2021-11-01,5761801,3651.250002
Company 6,Group A,PPV,North,2021-11-01,1681939,1143.000001
Company 5,Group A,PPV,North,2021-10-01,6832167,4481.416669
Company 4,Group A,PPV,North,2021-10-01,42665,28.00000015
